,Name,Sex,Age,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
234504,Stanisaw Edward Szostecki,M,24.0,Poland,POL,1992 Summer,1992,Summer,Barcelona,Wrestling,"Wrestling Men's Light-Flyweight, Freestyle",
234506,Katarzyna Szotyska (-Deberny),F,27.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Sailing,Sailing Women's One Person Dinghy,
234507,Stanisaw Szozda,M,21.0,Poland,POL,1972 Summer,1972,Summer,Munich,Cycling,"Cycling Men's Road Race, Individual",
234508,Stanisaw Szozda,M,21.0,Poland,POL,1972 Summer,1972,Summer,Munich,Cycling,Cycling Men's 100 kilometres Team Time Trial,Silver
234509,Stanisaw Szozda,M,25.0,Poland,POL,1976 Summer,1976,Summer,Montreal,Cycling,"Cycling Men's Road Race, Individual",
234510,Stanisaw Szozda,M,25.0,Poland,POL,1976 Summer,1976,Summer,Montreal,Cycling,Cycling Men's 100 kilometres Team Time Trial,Silver
234511,Zygfryd Ludwik Szotysik,M,29.0,Poland,POL,1972 Summer,1972,Summer,Munich,Football,Football Men's Football,Gold
234512,Micha Szpakowski,M,23.0,Poland,POL,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Coxed Eights,
234513,Micha Szpakowski,M,27.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,
234514,Ryszard Szparak,M,29.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 400 metres Hurdles,
234515,Sawomira Szpek,F,34.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Shooting,"Shooting Women's Air Pistol, 10 metres",
234516,Sawomira Szpek,F,34.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Shooting,"Shooting Women's Sporting Pistol, 25 metres",
234519,Lejzor Ilja Szrajbman,M,29.0,Poland,POL,1936 Summer,1936,Summer,Berlin,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,
234520,Krzysztof Jakub Szramiak,M,20.0,Poland,POL,2004 Summer,2004,Summer,Athina,Weightlifting,Weightlifting Men's Middleweight,
234521,Krzysztof Jakub Szramiak,M,24.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Weightlifting,Weightlifting Men's Middleweight,
234547,Zdzisaw Zbigniew Szubski,M,22.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",
234548,Agnieszka Szuchnicka,F,30.0,Poland,POL,1992 Summer,1992,Summer,Barcelona,Fencing,"Fencing Women's Foil, Team",
234570,Rafa Marek Szukaa,M,17.0,Poland,POL,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 100 metres Butterfly,
234571,Rafa Marek Szukaa,M,17.0,Poland,POL,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 200 metres Butterfly,
234572,Rafa Marek Szukaa,M,21.0,Poland,POL,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 100 metres Butterfly,Silver
