,Index,Name,Sex,Age,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
208,21389,Eliza Biakowska,F,19.0,Poland,POL,1992 Summer,1992,Summer,Barcelona,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual,
209,21390,Dariusz Edward Biakowski,M,22.0,Poland,POL,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Bronze
210,21391,Dariusz Edward Biakowski,M,26.0,Poland,POL,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",
211,21392,Dariusz Edward Biakowski,M,30.0,Poland,POL,2000 Summer,2000,Summer,Sydney,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze
212,21393,Dariusz Edward Biakowski,M,34.0,Poland,POL,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",
213,21394,Ryszard Biaows,M,25.0,Poland,POL,1972 Summer,1972,Summer,Munich,Basketball,Basketball Men's Basketball,
214,21464,Dorota Bidoach (Stachowiak-),F,31.0,Poland,POL,1988 Summer,1988,Summer,Seoul,Shooting,"Shooting Women's Air Pistol, 10 metres",
215,21465,Dorota Bidoach (Stachowiak-),F,31.0,Poland,POL,1988 Summer,1988,Summer,Seoul,Shooting,"Shooting Women's Sporting Pistol, 25 metres",
216,21503,Andrzej Biegalski,M,23.0,Poland,POL,1976 Summer,1976,Summer,Montreal,Boxing,Boxing Men's Heavyweight,
217,21530,Aleksander Bielaczyc,M,25.0,Poland,POL,1972 Summer,1972,Summer,Munich,Sailing,Sailing Mixed Three Person Keelboat,
218,21532,Piotr Mieczysaw Bielczyk,M,24.0,Poland,POL,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's Javelin Throw,
219,21533,Zofia Bielczyk (Filip-),F,21.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Women's 100 metres Hurdles,
220,21534,Zofia Bielczyk (Filip-),F,21.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Women's 4 x 100 metres Relay,
221,21537,Karol Bielecki,M,26.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Handball,Handball Men's Handball,
222,21538,Karol Bielecki,M,34.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Men's Handball,
223,21539,Maciej Bielecki,M,21.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Cycling,Cycling Men's Team Sprint,
224,21540,Maciej Bielecki,M,25.0,Poland,POL,2012 Summer,2012,Summer,London,Cycling,Cycling Men's Team Sprint,
225,21580,Dorota Bielska,F,18.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Hockey,Hockey Women's Hockey,
226,21581,Jacek Bielski,M,24.0,Poland,POL,1996 Summer,1996,Summer,Atlanta,Boxing,Boxing Men's Light-Welterweight,
227,21585,Mateusz Bieniek,M,22.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,
228,21586,Micha Bieniek,M,24.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's High Jump,
229,21587,Zdzisaw Julian Bieniek,M,22.0,Poland,POL,1952 Summer,1952,Summer,Helsinki,Football,Football Men's Football,
230,21594,Teodor Bieregowoj (-Bieregowski),M,28.0,Poland,POL,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Men's 50 kilometres Walk,
231,21598,Jacek Marek Bierkowski,M,28.0,Poland,POL,1976 Summer,1976,Summer,Montreal,Fencing,"Fencing Men's Sabre, Individual",
232,21599,Jacek Marek Bierkowski,M,28.0,Poland,POL,1976 Summer,1976,Summer,Montreal,Fencing,"Fencing Men's Sabre, Team",
233,21600,Jacek Marek Bierkowski,M,32.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Fencing,"Fencing Men's Sabre, Individual",
234,21601,Jacek Marek Bierkowski,M,32.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Fencing,"Fencing Men's Sabre, Team",
235,21614,Krzysztof Dariusz Bieryt,M,18.0,Poland,POL,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Men's Canadian Singles, Slalom",
